Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Backstop,power_trade,gas_trade
Coal power plant with CCS - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Large hydropower plant (Dam),Nuclear power plant - OTS/OTF cooling (old),CSP (without storage),Solar PV (utility),Wind (onshore),Biomass & Waste CHP plant with CCS - Air cooling (new),Backstop technology,Algeria - Morocco Historic EL trade link,Algeria - Italy Historic NG trade link
Coal power plant with CCS - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Medium hydropower plant (Run-of river),Nuclear power plant - OTS/OTF cooling (new),CSP (with storage),Solar PV (roof top),Wind (offshore),Biomass & Waste CHP plant  with CCS- MDT cooling (new),,Spain - Morocco Historic EL trade link,Algeria - Portugal Historic NG trade link
Coal power plant with CCS - NDT cooling (new),Oil fired gas turbine (SCGT) - NDT cooling (old),Natural gas power plant (combined cycle) - NDT cooling (new),Small hydropower plant,,,Solar PV with storage,,Biomass & Waste CHP plant with CCS - NDT cooling (new),,Egypt - Sudan Historic and Planned EL trade link,Algeria - Spain Historic and Planned NG trade link
Coal power plant with CCS - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),,,,,,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),,Egypt - Jordan Historic EL trade link,Algeria - Tunisia Historic NG trade link
Coal power plant - Air cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),,,,,,Biomass & Waste CHP plant - Air cooling (old),,Egypt - Saudi Arabia Planned EL trade link,Egypt - Turkey Historic NG trade link
Coal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),,,,,,Biomass & Waste CHP plant - MDT cooling (old),,Libya - Egypt Historic EL trade link,Israel - Egypt Planned NG trade link
Coal power plant - NDT cooling (old),Oil fired gas turbine (SCGT) - NDT cooling (new),Natural gas power plant (combined cycle) - NDT cooling (old),,,,,,Biomass & Waste CHP plant - NDT cooling (old),,Morocco - Algeria Historic EL trade link,Libya - Italy Historic NG trade link
Coal power plant - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),,,,,,Biomass & Waste CHP plant - OTF/OTS cooling (old),,Tunisia - Algeria Historic EL trade link,Nigeria - Algeria Planned NG trade link
Coal power plant - Air cooling (new),Light Fuel Oil stand alone (1kW),Natural gas power plant (single cycle) - Air cooling (old),,,,,,Biomass & Waste CHP plant - Air cooling (new),,,
Coal power plant - MDT cooling (new),Light Fuel Oil power plant - Air cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),,,,,,Biomass & Waste CHP plant - MDT cooling (new),,,
Coal power plant - NDT cooling (new),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (single cycle) - NDT cooling (old),,,,,,Biomass & Waste CHP plant - NDT cooling (new),,,
Coal power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - NDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (old),,,,,,Biomass & Waste CHP plant - OTF/OTS cooling (new),,,
,Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),,,,,,,,,
,Light Fuel Oil power plant - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (new),,,,,,,,,
,Light Fuel Oil power plant - MDT cooling (new),Natural gas power plant (single cycle) - NDT cooling (new),,,,,,,,,
,Light Fuel Oil power plant - NDT cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),,,,,,,,,
,Light Fuel Oil power plant - OTF/OTS cooling (new),,,,,,,,,,
